variant,verify
Dilithium2,3.4802689927668693
Dilithium2,3.401889096604145
Dilithium2,3.4501896099669884
Dilithium2,3.4041384418645873
Dilithium2,3.431070711649215
Dilithium2,3.4969083169977115
Dilithium2,3.5258347588128336
Dilithium2,3.45838549043924
Dilithium2,3.54352247445854
Dilithium2,3.4203075028249477
Dilithium2,3.43914565195029
Dilithium2,3.5695004386226734
Dilithium2,3.5385940124888187
Dilithium2,3.352832044527506
Dilithium2,3.397040248313896
Dilithium2,3.412952037056555
Dilithium2,3.522938515049469
Dilithium2,3.4198679284913722
Dilithium2,3.441586056412227
Dilithium2,3.327321917930157
Dilithium2,3.321136975061152
Dilithium2,3.4969988749420184
Dilithium2,3.4496231462853895
Dilithium2,3.3913214155409004
Dilithium2,3.4645985376511823
Dilithium2,3.4468570891546713
Dilithium2,3.5415708159242287
Dilithium2,3.4241788031173277
Dilithium2,3.3955932545850214
Dilithium2,3.4167245142276537
Dilithium2,3.4710974205292566
Dilithium2,3.526847990710598
Dilithium2,3.4241723049871053
Dilithium2,3.496300235026615
Dilithium2,3.4165122728282658
Dilithium2,3.4917669615515443
Dilithium2,3.4196489574622575
Dilithium2,3.3265548300299277
Dilithium2,3.510178068796247
Dilithium2,3.504217333400608
Dilithium2,3.4431312971228785
Dilithium2,3.481750773074047
Dilithium2,3.57235616184673
Dilithium2,3.4328001539389073
Dilithium2,3.6105193258502495
Dilithium2,3.4229778544156453
Dilithium2,3.6859722532415704
Dilithium2,3.413612526773209
Dilithium2,3.4746615776138663
Dilithium2,3.2856337126942576
Dilithium2,3.4590022694029936
Dilithium2,3.3367530606707048
Dilithium2,3.4058217196174527
Dilithium2,3.4606666590722734
Dilithium2,3.4538692336983083
Dilithium2,3.499129280519568
Dilithium2,3.499817116691151
Dilithium2,3.456461071897671
Dilithium2,3.5330790434035686
Dilithium2,3.4242408436672678
Dilithium2,3.5802076709673525
Dilithium2,3.34519672994065
Dilithium2,3.282425183369063
Dilithium2,3.535104511856081
Dilithium2,3.449831058966053
Dilithium2,3.4389191225405824
Dilithium2,3.5347126035280105
Dilithium2,3.575994583535946
Dilithium2,3.4236706039578984
Dilithium2,3.3629960062328736
Dilithium2,3.558428147452661
Dilithium2,3.4619372775942763
Dilithium2,3.373416885541346
Dilithium2,3.447871647977233
Dilithium2,3.3442038635811473
Dilithium2,3.5545115487296943
Dilithium2,3.3623828883227045
Dilithium2,3.465285686628578
Dilithium2,3.4211302137827437
Dilithium2,3.4792311842519306
Dilithium2,3.4760706514109865
Dilithium2,3.3809360887054605
Dilithium2,3.362434072757511
Dilithium2,3.4560355654626194
Dilithium2,3.3538731044087218
