variant,mean_verify,std_verify
Dilithium2,3.4494236287660875,0.08053562808204678
Dilithium3,5.5731717748425185,0.12561408981862632
Dilithium5,8.754515189434985,0.19980680412318375
Falcon-1024,7.944534785432547,0.18849934247824135
Falcon-512,5.694641463011913,0.1351813262439497
Falcon-padded-1024,7.812598839711896,0.1894383072969298
Falcon-padded-512,4.225702998166293,0.09476743189966022
MAYO-2,1.887761857167025,0.0451781048663755
MAYO-3,8.930637241593379,0.2035244512738802
MAYO-5,16.74112651298817,0.4019284014232826
ML-DSA-44,3.476045763530921,0.08198745768840918
ML-DSA-65,5.544043031476543,0.13723638890497986
ML-DSA-87,8.646074045512863,0.2013912740529659
P-256,7.638449392522539,0.17617732545894885
P-384,33.77002613897239,0.8009812867805596
P-521,40.97453981182066,1.0030165285460433
SPHINCS+-SHA2-128f-simple,65.0150754192688,1.526024003096559
SPHINCS+-SHA2-128s-simple,23.64549355639509,0.5475526621222709
SPHINCS+-SHA2-192f-simple,98.86666816197942,2.3847479681876567
SPHINCS+-SHA2-192s-simple,39.379042294073045,0.9184053682319512
SPHINCS+-SHA2-256f-simple,100.52255367175594,2.3897348342236513
SPHINCS+-SHA2-256s-simple,55.798422982081206,1.2370216183813958
SPHINCS+-SHAKE-128f-simple,124.84982027256665,2.870690014276586
SPHINCS+-SHAKE-128s-simple,46.08323598697582,1.0947564962385163
SPHINCS+-SHAKE-192f-simple,178.34868932853468,4.267731487966325
SPHINCS+-SHAKE-192s-simple,64.54727015892948,1.4403353995932382
SPHINCS+-SHAKE-256f-simple,181.99122913699142,4.197409158979664
SPHINCS+-SHAKE-256s-simple,93.28623658143502,2.19289594254856
cross-rsdp-128-balanced,51.6953700126668,1.2089819053968849
cross-rsdp-128-fast,27.869136604137463,0.6436764327471932
cross-rsdp-128-small,202.99196194253793,4.708029021335502
cross-rsdp-192-balanced,115.62439062861729,2.653069635764364
cross-rsdp-192-fast,64.43573487079065,1.5123131726450665
cross-rsdp-192-small,281.7014223293071,6.794640101863536
cross-rsdp-256-balanced,191.1474788257442,4.4540586249628715
cross-rsdp-256-fast,111.52036934448365,2.6530992433217495
cross-rsdp-256-small,376.55485816970724,9.183470472561991
cross-rsdpg-128-balanced,34.364537720653594,0.809628028979686
cross-rsdpg-128-fast,19.293120666436437,0.4489532733006826
cross-rsdpg-128-small,120.29961092897021,2.893152443365776
cross-rsdpg-192-balanced,53.027581252592135,1.2753162013380528
cross-rsdpg-192-fast,45.78804101260546,1.0631735661809145
cross-rsdpg-192-small,193.04345820908307,4.471469549220405
cross-rsdpg-256-balanced,87.13637962036036,1.9775028982029472
cross-rsdpg-256-fast,74.63338219829204,1.7246558741654578
cross-rsdpg-256-small,235.8753616049216,5.644554196805877
