variant,mean_keypair,std_keypair,mean_sign,std_sign,mean_verify,std_verify
Falcon-1024,13.81519901752472,3.6295970274201204,0.334238076210022,0.0023950020977959773,0.06725432872772216,0.00085423556042023
Falcon-512,4.672338676452637,1.2237824729625542,0.16868512630462645,0.001739953357824542,0.03515005111694336,0.000593327965886547
MAYO-2,0.023650383949279784,0.00047012124858966084,0.05616691112518311,0.0007364153964345953,0.013447332382202148,0.00045320835246030197
MAYO-3,0.04193732738494873,0.0007378750123572077,0.14939193725585936,0.00125232399226785,0.04873015880584717,0.0011947367030811598
MAYO-5,0.09013867378234863,0.0009609559402660777,0.2839566469192505,0.0018153989325605596,0.0930006742477417,0.0010217673766209686
ML-DSA-44,0.02337346076965332,0.0005681027282379601,0.05509929656982422,0.029951397478702502,0.022748661041259766,0.0006133988277204956
ML-DSA-65,0.03873562812805176,0.0007136220909538356,0.08705074787139892,0.04744395585823174,0.03714838027954102,0.0006867752678405915
ML-DSA-87,0.0603985071182251,0.0008628548451589767,0.10851826667785644,0.04681013164570268,0.05835626125335693,0.0010544548614087597
P-256,0.015014362335205079,0.0006450047435683635,0.03292584419250488,0.000960315627555367,0.09510762691497802,0.0018453512483353777
P-384,0.12292687892913819,0.001742667746512504,0.20057528018951415,0.0021116112190986127,0.6031383991241455,0.003314715520409887
P-521,0.10964500904083252,0.0014589679004376004,0.22538440227508544,0.0022373032707011602,0.6202967643737793,0.0034357987884320587
SPHINCS+-SHA2-128f-simple,0.23124909400939941,0.0011978317200036614,5.378746581077576,0.003956561719176189,0.41302735805511476,0.007371653544346235
SPHINCS+-SHA2-128s-simple,14.485883808135986,0.018405937199332086,110.2045725107193,0.1275680552914275,0.1560600519180298,0.004339487473689382
SPHINCS+-SHA2-192f-simple,0.3454620838165283,0.0016354954378678802,9.263014984130859,0.0054353837754615615,0.642881202697754,0.007731376200474808
SPHINCS+-SHA2-192s-simple,21.555243158340453,0.01096754114226534,206.7551774740219,0.06154208528620632,0.2645582675933838,0.004441868795555917
SPHINCS+-SHA2-256f-simple,0.9181896924972535,0.0022354218297483946,19.22127447128296,0.010308093400650517,0.6536146402359009,0.008716223040935181
SPHINCS+-SHA2-256s-simple,14.566797161102295,0.02094276409101662,189.5503061056137,0.05260286096954325,0.36457505226135256,0.005981702809256167
SPHINCS+-SHAKE-128f-simple,0.4992056131362915,0.0014347561285058155,11.650974750518799,0.004837584469324196,0.8470145225524902,0.016594739903483265
SPHINCS+-SHAKE-128s-simple,32.717888712882996,0.02254554852886264,249.0887526988983,0.08799716251787205,0.3177858591079712,0.009447556129456086
SPHINCS+-SHAKE-192f-simple,0.7408249139785766,0.004321850768254714,19.13010392189026,0.010163639197967806,1.222350811958313,0.017065562061800568
SPHINCS+-SHAKE-192s-simple,46.47425253391266,0.016686249839004585,420.3342899084091,0.17574592503821382,0.44287006855010985,0.009319533679277162
SPHINCS+-SHAKE-256f-simple,1.9917838335037232,0.0020862480863716375,39.8701132774353,0.013621225311404132,1.2410573005676269,0.019580272052859633
SPHINCS+-SHAKE-256s-simple,32.15677616596222,0.08927665664093466,382.2866900205612,0.35877681046241894,0.6336709499359131,0.012739165096180081
cross-rsdp-128-balanced,0.015803718566894533,0.0004231340484665791,0.5440094470977783,0.002313804556126019,0.3766901731491089,0.0018712966953147738
cross-rsdp-128-fast,0.015013027191162109,0.00043598576024831906,0.32578284740448,0.0018428320518674684,0.20173096656799316,0.001422488417878176
cross-rsdp-128-small,0.01603696346282959,0.00041622732646104914,1.9998366355895996,0.004489376239129887,1.4551812648773192,0.0037440289099794216
cross-rsdp-192-balanced,0.03101217746734619,0.000624594614971915,1.2381431579589843,0.0030890606896575353,0.8444021701812744,0.0023916256950153925
cross-rsdp-192-fast,0.03128814697265625,0.000594623680521364,0.7347090244293213,0.002733733858188933,0.465934681892395,0.0019103220633016201
cross-rsdp-192-small,0.03095252513885498,0.0006210658956218267,2.847382831573486,0.005325415364974182,2.0151439189910887,0.003833617497733326
cross-rsdp-256-balanced,0.04341633319854736,0.0008750314376876747,2.036018419265747,0.004467464399629545,1.390500831604004,0.003180055467854128
cross-rsdp-256-fast,0.04340405464172363,0.0006660333147411225,1.2963601112365724,0.0034934613196851215,0.8077846527099609,0.002397609134813857
cross-rsdp-256-small,0.042757177352905275,0.0008375361492835123,3.7532941579818724,0.010161250384448166,2.657903289794922,0.006083241248036554
cross-rsdpg-128-balanced,0.008768749237060548,0.00035944301982811846,0.41066708564758303,0.0020121020040844823,0.25683810710906985,0.0015732799988842736
cross-rsdpg-128-fast,0.008543300628662109,0.00034807405193878186,0.22952635288238527,0.0015015153764916058,0.1415259838104248,0.0011957186451597283
cross-rsdpg-128-small,0.009014606475830078,0.0003524338332647165,1.4279812574386597,0.0035681388843028187,0.9169546365737915,0.002303294392366919
cross-rsdpg-192-balanced,0.01464250087738037,0.0004133309464482966,0.6421880483627319,0.0019000021176102907,0.3944113254547119,0.001657396235412481
cross-rsdpg-192-fast,0.014464783668518066,0.00044584603264817096,0.5404085159301758,0.0017173264690516236,0.33382649421691896,0.0015381330308975026
cross-rsdpg-192-small,0.014876914024353028,0.00044981018994011684,2.3118927240371705,0.0032513344716384035,1.4668252229690553,0.0023430967137380407
cross-rsdpg-256-balanced,0.02137413024902344,0.0005338298561062457,1.0326539754867554,0.002687897942359944,0.6321020364761353,0.002066994021778851
cross-rsdpg-256-fast,0.021645331382751466,0.0005068189904639449,0.8539672136306763,0.004128441414608395,0.5335558652877808,0.001923851665048972
cross-rsdpg-256-small,0.021718549728393554,0.0005201461989670022,2.81609206199646,0.004445667383795548,1.737404727935791,0.0029686631810421226
