,variant,mean_verify,std_verify
0,Falcon-1024,12.655167060716408,0.2536858173331147
1,Falcon-512,6.810896639234564,0.14416761404635517
2,MAYO-2,2.407197782554899,0.051464646071781237
3,MAYO-3,8.395960815876656,0.17649316608162402
4,MAYO-5,15.892652423849064,0.31535965890196915
5,ML-DSA-65,5.964935917389957,0.11796894631396343
6,ML-DSA-87,9.131834821594627,0.18798557090790466
7,P-256,16.475638004335384,0.3410128363634942
8,P-384,92.35158678399108,1.823861628702021
9,P-521,110.15531912248626,2.0831823194130137
10,SPHINCS+-SHA2-128f-simple,79.1831749807176,1.6184441994029701
11,SPHINCS+-SHA2-128s-simple,35.78341365032116,0.7164280963568559
12,SPHINCS+-SHA2-192f-simple,122.29042385377137,2.4494505167156704
13,SPHINCS+-SHA2-192s-simple,56.40015616790513,1.1221517750224026
14,SPHINCS+-SHA2-256f-simple,127.79985315400127,2.4430437550127024
15,SPHINCS+-SHA2-256s-simple,75.32973412673813,1.5006557955370168
16,SPHINCS+-SHAKE-128f-simple,134.2719661665809,2.6455180512934033
17,SPHINCS+-SHAKE-128s-simple,38.33442702894328,24.705670464627648
18,SPHINCS+-SHAKE-192f-simple,177.9702955412444,26.952127092015363
19,SPHINCS+-SHAKE-192s-simple,75.02547617262348,1.4575561696642119
20,SPHINCS+-SHAKE-256f-simple,197.04106922436173,3.7965371205072347
21,SPHINCS+-SHAKE-256s-simple,105.3307508044192,2.141649252788178
22,cross-rsdp-128-balanced,63.65735761496155,1.255660453435207
23,cross-rsdp-128-fast,34.824122065229304,0.6754255128266736
24,cross-rsdp-128-small,227.56709905404003,27.20620463745922
25,cross-rsdp-192-balanced,144.18731706476018,2.8877463214593044
26,cross-rsdp-192-fast,79.8130002904604,1.5895936748179627
27,cross-rsdp-192-small,328.88086448413765,27.784156683602195
28,cross-rsdp-256-balanced,213.9012552606222,26.70115502306459
29,cross-rsdp-256-fast,139.7011767169028,2.7898078742293717
30,cross-rsdp-256-small,437.33938253528623,28.250137527576975
31,cross-rsdpg-128-balanced,43.111118208440416,0.8512897372508611
32,cross-rsdpg-128-fast,24.39766224968749,0.4805507109327199
33,cross-rsdpg-128-small,137.02063486551856,27.07941756854032
34,cross-rsdpg-192-balanced,66.62565357974131,1.3250436487456103
35,cross-rsdpg-192-fast,56.804354771290164,1.064607399028984
36,cross-rsdpg-192-small,247.00678370530366,5.063263882678318
37,cross-rsdpg-256-balanced,89.95700524926941,27.037357513168303
38,cross-rsdpg-256-fast,91.1721379643776,1.790029417549358
39,cross-rsdpg-256-small,270.9281597577923,28.442816844107412
