variant,verify
Falcon-1024,12.118784652978636
Falcon-1024,12.97160364183566
Falcon-1024,12.446778812502739
Falcon-1024,12.41286246459561
Falcon-1024,12.935363278985754
Falcon-1024,12.47339002155681
Falcon-1024,12.44949367320305
Falcon-1024,12.779001316029866
Falcon-1024,12.626524982952693
Falcon-1024,12.12487723822341
Falcon-1024,12.96648005099547
Falcon-1024,12.955645067184276
Falcon-1024,12.700319654351937
Falcon-1024,13.016979415497902
Falcon-1024,12.903797189593796
Falcon-1024,12.871290404590274
Falcon-1024,12.552194154148877
Falcon-1024,13.086856985149513
Falcon-1024,12.793280462576831
Falcon-1024,12.017382034233252
Falcon-1024,12.699021187130516
Falcon-1024,12.867561976960886
Falcon-1024,12.867071906845492
Falcon-1024,12.734042817233362
Falcon-1024,12.412262853064448
Falcon-1024,12.450393079861156
Falcon-1024,13.12355501757691
Falcon-1024,12.843295535085351
Falcon-1024,13.203607233480056
Falcon-1024,12.41693258595815
Falcon-1024,12.782411087294856
Falcon-1024,12.98200491304726
Falcon-1024,12.498614022253625
Falcon-1024,12.672835599895508
Falcon-1024,12.885603408711065
Falcon-1024,12.272688214782393
Falcon-1024,12.944608908423907
Falcon-1024,12.478101125826212
Falcon-1024,12.657289427432199
Falcon-1024,12.74190983304258
Falcon-1024,12.405483872589693
Falcon-1024,12.588779354302767
Falcon-1024,12.649558961915025
Falcon-1024,12.560071934021293
Falcon-1024,12.856466477771114
Falcon-1024,12.557519798021369
Falcon-1024,12.283020216179626
Falcon-1024,12.943459359248912
Falcon-1024,12.594036487178746
Falcon-1024,12.792992291860898
Falcon-1024,12.018618059870969
Falcon-1024,12.130137216575232
Falcon-1024,12.467048928026705
Falcon-1024,12.32782150483826
Falcon-1024,12.677859902567453
Falcon-1024,12.828056804414542
Falcon-1024,12.841622480139828
Falcon-1024,12.606849386049138
Falcon-1024,12.758666044666105
Falcon-1024,12.795286763487148
Falcon-1024,12.42855036813813
Falcon-1024,12.563392969305617
Falcon-1024,12.740174386334767
Falcon-1024,12.505385228062698
Falcon-1024,12.837770444172207
Falcon-1024,12.980960975939261
Falcon-1024,12.641836723057816
Falcon-1024,12.552478601400619
Falcon-1024,12.69739951232668
Falcon-1024,12.852754228451966
Falcon-1024,12.765467217066268
Falcon-1024,12.793467883478163
Falcon-1024,12.740139959442777
Falcon-1024,13.099164760282473
Falcon-1024,12.379034258794567
Falcon-1024,13.009561649412339
Falcon-1024,12.542111938422067
Falcon-1024,12.2629523375824
Falcon-1024,12.417497056908564
Falcon-1024,12.520489294112313
Falcon-1024,12.156384552716245
Falcon-1024,12.426475615934658
Falcon-1024,12.491351052039919
Falcon-1024,12.538687783083692
Falcon-1024,12.450722325819678
Falcon-1024,12.414918883604
Falcon-1024,12.685891658520486
Falcon-1024,12.29410910443852
Falcon-1024,12.88072114053779
Falcon-1024,12.6306214851815
Falcon-1024,12.726593523002357
Falcon-1024,12.443179753980834
Falcon-1024,12.51835480061655
Falcon-1024,12.494971320040214
Falcon-1024,12.688479997942292
Falcon-1024,12.559620254728864
Falcon-1024,12.595574495999449
Falcon-1024,12.884868307585611
Falcon-1024,12.339008022657236
Falcon-1024,12.765348945414642
Falcon-1024,12.67614908483669
Falcon-1024,12.624762028106723
Falcon-1024,12.459384909812314
Falcon-1024,12.82542947965401
Falcon-1024,12.356993924938793
Falcon-1024,12.596326885466182
Falcon-1024,12.586954612836541
Falcon-1024,12.492567946210745
Falcon-1024,12.666010131773746
Falcon-1024,12.464833757263925
Falcon-1024,12.295121519485084
Falcon-1024,12.83344475892319
Falcon-1024,12.860480331647333
Falcon-1024,12.374331473957639
Falcon-1024,12.88171048653635
Falcon-1024,12.607756157155292
Falcon-1024,12.663510613061778
Falcon-1024,12.688139435501867
Falcon-1024,12.657668452107131
Falcon-1024,12.64288008296531
Falcon-1024,12.538620322469129
Falcon-1024,12.588830554132533
Falcon-1024,12.893708900062283
Falcon-1024,12.954028468156155
Falcon-1024,12.121414416538231
Falcon-1024,12.499279483452613
Falcon-1024,12.967791174875936
Falcon-1024,12.704887594190373
Falcon-1024,12.314629239173835
Falcon-1024,12.667219346470036
Falcon-1024,12.990469493854722
Falcon-1024,12.593044487335447
Falcon-1024,12.801860796787235
Falcon-1024,12.850211017555635
Falcon-1024,12.945465480627265
Falcon-1024,12.558049606536414
Falcon-1024,13.010253036498744
Falcon-1024,12.468569705160466
Falcon-1024,12.362490916576933
Falcon-1024,12.453868148536301
Falcon-1024,12.909295802648534
Falcon-1024,12.623983427514652
Falcon-1024,12.545691771594631
Falcon-1024,12.807847256163182
Falcon-1024,12.577662638667459
Falcon-1024,12.592670591182047
Falcon-1024,12.617060890330219
Falcon-1024,12.611225758917435
Falcon-1024,12.705243974161576
Falcon-1024,12.799024903074177
Falcon-1024,12.355854876976602
Falcon-1024,12.764898146860594
Falcon-1024,12.655230773191445
Falcon-1024,12.741498600714593
