variant,mean_keypair,std_keypair,mean_sign,std_sign,mean_verify,std_verify
Dilithium2,0.021950928270234725,0.0014167210662426257,0.06508283241419122,0.04024541212351056,0.022202195681165902,0.0014844358347140933
Dilithium3,0.047071374174993255,0.0021376682780828264,0.10044203013749212,0.062249041394505655,0.03327234971802682,0.0018325541596188794
Dilithium5,0.05439126610508538,0.0023648366311196578,0.11998027979934704,0.06084657369331088,0.05293258003948722,0.0023156821428085813
Falcon-1024,16.69925989663316,4.152227092678141,0.3074322815431515,0.00658136523919942,0.055665340545237994,0.00387806548002531
Falcon-512,5.201686674464145,1.217234264520123,0.15515147250553127,0.004733852894417052,0.02907350267050788,0.0034408632137634017
Falcon-padded-1024,16.844843010531623,4.268262955582688,0.3082193634181749,0.010626525815468324,0.0553987603954738,0.003535316791816904
Falcon-padded-512,5.2058566390711345,1.1995432288151935,0.15529000907408771,0.004548996451136055,0.028894106263760478,0.0031254680972767714
MAYO-2,0.2575681812420953,0.003749107056172332,0.40046525406942235,0.005574211306422104,0.034135357051854956,0.0015369307649518316
MAYO-3,0.3541566522195353,0.004735723178323655,1.038534270087257,0.011081460983696433,0.1705014815510367,0.0028287834145188573
MAYO-5,0.9550629835823201,0.010035475856255317,2.6692102357017573,0.01956147348736183,0.3714545098482631,0.005577732196074976
ML-DSA-44,0.052248110784421445,0.02314256354098911,0.22837722044059774,0.19867034219137583,0.056787733655801274,0.037133766301544156
ML-DSA-65,0.09654876852146117,0.010576875388531543,0.35240840999758805,0.2419329030572825,0.08798926172457869,0.012215939019486243
ML-DSA-87,0.13591364693274954,0.0042862186576501,0.4290026323273196,0.2628597724176654,0.14068945109538616,0.0042471359684496095
P-256,0.019905031812231754,0.001165164304492514,0.044232890832063276,0.0025741788957641385,0.07899763460736722,0.0027657687687029885
P-384,0.27205815024062757,0.7710884312461449,0.4043036396171374,0.4124380917591859,0.7922938040901499,1.0747019170224206
P-521,0.30863685999502194,0.45607359003463344,0.538303599251958,0.7383489158378119,0.9458109439685358,0.6646871973620713
SPHINCS+-SHA2-128f-simple,0.6244883553277759,0.008352036399017349,14.533281830439227,0.12124234838931086,0.8744120373965416,0.022626925607484416
SPHINCS+-SHA2-128s-simple,39.76793313791423,0.26583056712314834,302.49218772651875,5.121756783167389,0.30671274649721453,0.014219182835568608
SPHINCS+-SHA2-192f-simple,0.9245157287572511,0.013149192989110905,25.228435264705332,0.23359404626615876,1.359763178947469,0.026739918448829614
SPHINCS+-SHA2-192s-simple,59.28136510319746,1.1202333747330875,584.2960907711146,10.12783872315656,0.5129226918877976,0.02012030341156176
SPHINCS+-SHA2-256f-simple,2.444075080379116,0.02954443514242962,52.0040897576313,0.4608098272492014,1.4021561209956417,0.03004706043740916
SPHINCS+-SHA2-256s-simple,38.90079691007122,0.3464521621404464,526.696868554542,4.127803035778206,0.7269403631260503,0.019669746283354148
SPHINCS+-SHAKE-128f-simple,1.1321708087009028,0.01589678801384798,26.440410472675286,0.26670585551357723,1.5775376939753187,0.04131620515577866
SPHINCS+-SHAKE-128s-simple,72.49492652396002,0.6919266528588629,550.0821184250278,4.965419251427777,0.5451106992768473,0.02262799504599085
SPHINCS+-SHAKE-192f-simple,1.686395641011768,0.021824965825928327,43.573199423508775,0.4295422799025275,2.3489029395583203,0.04663594720117405
SPHINCS+-SHAKE-192s-simple,107.90654494695626,1.0302459775438257,970.0725043112687,8.592207331491451,0.8076652843898046,0.02527122416140438
SPHINCS+-SHAKE-256f-simple,4.511107578096562,0.052489777654216405,90.58819640868315,0.8657156682245329,2.418001751026895,0.05102285774112471
SPHINCS+-SHAKE-256s-simple,72.0933679652735,3.1360549365421595,857.9329800159162,28.40507985519764,1.1942534265996074,0.0841392264420408
cross-rsdp-128-balanced,0.014161501784110441,0.0008150481506409437,0.8003872371351463,0.009009180006704257,0.4622971280477941,0.006367598480666387
cross-rsdp-128-fast,0.014209194312570617,0.0009315106559769898,0.4568039361256524,0.0073702737849285485,0.26206400077935543,0.005028763984102595
cross-rsdp-128-small,0.014252299763029441,0.0008780037255741175,2.972225221208646,0.02242541960534582,1.7317027648256045,0.014465228888650287
cross-rsdp-192-balanced,0.030695249818381853,0.000989474026227625,1.8259945524157957,0.013920445707027622,1.0026039513730212,0.010339264339623143
cross-rsdp-192-fast,0.03062843049847288,0.0011640696004621986,1.0468690118024824,0.010488320528882215,0.6049907194596017,0.008723624701241309
cross-rsdp-192-small,0.031108220476016867,0.0012649730993082448,4.311555881482491,0.046723537925762865,2.328932420320052,0.026861853824496764
cross-rsdp-256-balanced,0.051711135821824426,0.001287547437858791,3.2583093227643984,0.02496519262190183,1.6741674275544938,0.01591195273653955
cross-rsdp-256-fast,0.051766959668020716,0.001843525240611852,2.020268351279083,0.020679310988020803,1.1546194419730456,0.012541736033289019
cross-rsdp-256-small,0.05202972429979127,0.0017156468396022702,6.16573352121195,0.05436778772833143,3.0644379790726815,0.03219914937490082
cross-rsdpg-128-balanced,0.007389856061490718,0.000568641855910026,0.612293708496145,0.008966620705729048,0.33839224020484837,0.007377891641816073
cross-rsdpg-128-fast,0.00736966230761027,0.0006578367584828168,0.3227400731659145,0.0049809854912451,0.18862200960429618,0.0043730787647317595
cross-rsdpg-128-small,0.007461694613448344,0.0007334155041477205,2.1546636382190627,0.023332051111307983,1.1744433361585833,0.01525954365794446
cross-rsdpg-192-balanced,0.013694696137099527,0.0007856611193266259,0.7667167948340647,0.008097870082739851,0.47304993449070026,0.00602468861746635
