variant,mean_keypair,std_keypair,mean_sign,std_sign,mean_verify,std_verify
Dilithium2,0.024943065643310548,0.0004883279344221818,0.05865082740783691,0.03142439161583299,0.023114466667175294,0.00047079665794983936
Dilithium3,0.03941576480865479,0.0010282136454687145,0.09102821350097656,0.04949822206693371,0.03640744686126709,0.0009998919229954825
Dilithium5,0.05993695259094238,0.0013841526493742536,0.11225574016571045,0.048395440763654575,0.05630435943603516,0.001096955542892131
Falcon-1024,15.49526879787445,3.730729706343213,0.3806874990463257,0.0040560090486160905,0.07636051177978516,0.0012794200976852983
Falcon-512,5.202748012542725,1.2285862295923338,0.19578289985656738,0.0023847516788726504,0.04190521240234375,0.0006493161577622668
Falcon-padded-1024,15.530511856079102,3.806833453243662,0.38498382568359374,0.006345341130335814,0.07587037086486817,0.0010890792378851065
Falcon-padded-512,5.224599695205688,1.2653756457497798,0.19725387096405028,0.002580166791494985,0.041769886016845705,0.0011933283560877624
MAYO-2,0.033472871780395506,0.0006583298356532783,0.07126169204711914,0.0009985882057641263,0.020646834373474122,0.0005148210451915979
MAYO-3,0.0630232810974121,0.001175184600510857,0.20167748928070067,0.0018543583161044863,0.07316114902496337,0.0010474598986401173
MAYO-5,0.13606007099151612,0.0016656305762067962,0.39578828811645506,0.0031311854922399427,0.14673683643341065,0.0017565566900881006
ML-DSA-44,0.024780869483947754,0.0008998380293113622,0.05823793411254883,0.03076911571638209,0.02307307720184326,0.0009345350246477186
ML-DSA-65,0.03938558101654053,0.0007590870780109647,0.0912294864654541,0.04995202825966627,0.03642680644989014,0.0005287525225960504
ML-DSA-87,0.06086170673370361,0.0011123912033516657,0.1141136884689331,0.04960626050441446,0.056785988807678225,0.001256814251939167
P-256,0.019527411460876463,0.0007330047290540881,0.039110565185546876,0.0006816556406024783,0.10822083950042724,0.0014156307125073066
P-384,0.12311379909515381,0.00216003818477772,0.20092084407806396,0.0026104342802397433,0.593408751487732,0.00442524885617758
P-521,0.12722594738006593,0.0017528574589478906,0.2538463115692139,0.0024965949026729754,0.699973201751709,0.004291067315133592
SPHINCS+-SHA2-128f-simple,0.2531230926513672,0.0023695854272969543,5.856170177459717,0.012414989492500132,0.5142520427703857,0.008684391077131906
SPHINCS+-SHA2-128s-simple,15.78311059474945,0.022779586466126482,120.0164159297943,0.07378752517510645,0.20869138240814208,0.004839721086849935
SPHINCS+-SHA2-192f-simple,0.3778726100921631,0.0025240586759011498,10.147557258605957,0.014894899381589412,0.7322429180145263,0.008902606663137877
SPHINCS+-SHA2-192s-simple,23.831333923339844,0.023991969814659165,229.57977769374847,0.08869418868489684,0.3108558416366577,0.005125932430124497
SPHINCS+-SHA2-256f-simple,1.0054470539093017,0.004566477072922623,21.123657965660094,0.02565796190425723,0.7559904336929322,0.010021901617324004
SPHINCS+-SHA2-256s-simple,15.867447066307069,0.029647225885070672,208.23969993591308,0.16789185517533836,0.4298666477203369,0.00718025338633539
SPHINCS+-SHAKE-128f-simple,0.48903484344482423,0.0033896293641235997,11.3616548538208,0.01708409172053551,0.7957910299301147,0.01567617061714643
SPHINCS+-SHAKE-128s-simple,31.188692212104797,0.02869082823485585,237.0913972377777,0.08938359339376459,0.3003490924835205,0.008932135382360052
SPHINCS+-SHAKE-192f-simple,0.7173733949661255,0.0035709152705854998,18.457440900802613,0.020489643297441518,1.150786805152893,0.016283601328810692
