variant,mean_verify,std_verify
Dilithium2,3.1023039865431823,0.06713666662578607
Dilithium3,4.889261585060317,0.10352958526208506
Dilithium5,7.552609104708025,0.15974656983234878
Falcon-1024,10.260979360357352,0.22423907404452084
Falcon-512,5.627101053390467,0.12190730275217854
Falcon-padded-1024,10.18800521194594,0.22681655120368746
Falcon-padded-512,5.607811871212831,0.12325287609752159
MAYO-2,2.770614538596987,0.060637001411060695
MAYO-3,9.831988984844912,0.20601033739627103
MAYO-5,19.68427059030447,0.44162564691545303
ML-DSA-44,3.0946659228676703,0.0653624437429791
ML-DSA-65,4.891756958426416,0.10334878739759693
ML-DSA-87,7.628743116977624,0.16894941839032218
P-256,14.522715559947342,0.3034902569953417
P-384,79.62901080358428,1.745512754094515
P-521,94.04541317177078,2.0388036147544035
SPHINCS+-SHA2-128f-simple,69.11536040484937,1.533637617732042
SPHINCS+-SHA2-128s-simple,28.016699141620215,0.6056419908815701
SPHINCS+-SHA2-192f-simple,98.23823956829017,2.1838197356747995
SPHINCS+-SHA2-192s-simple,41.74182403221362,0.9056606066068602
SPHINCS+-SHA2-256f-simple,101.49751035006821,2.1685461645385824
SPHINCS+-SHA2-256s-simple,57.77012511558319,1.1934481746642749
SPHINCS+-SHAKE-128f-simple,106.78589259664113,2.3067261890416564
SPHINCS+-SHAKE-128s-simple,40.32309720721269,0.8254361463667522
SPHINCS+-SHAKE-192f-simple,154.5228620934133,3.403488046241108
SPHINCS+-SHAKE-192s-simple,56.77545330692837,1.2485842706219856
SPHINCS+-SHAKE-256f-simple,155.8728590275627,3.3710947086508853
SPHINCS+-SHAKE-256s-simple,81.17928848392289,1.8072058763970054
cross-rsdp-128-balanced,52.09554272131503,1.1301347705645053
cross-rsdp-128-fast,29.353319654987214,0.633318511283916
cross-rsdp-128-small,205.33578412239584,4.439453613088685
cross-rsdp-192-balanced,114.12541991211933,2.5738584364267294
cross-rsdp-192-fast,64.00621619109275,1.3141891368317251
cross-rsdp-192-small,270.53395282033097,6.022580800464457
cross-rsdp-256-balanced,198.50216638387212,4.253889341321326
cross-rsdp-256-fast,117.55508010883527,2.4610623946644115
cross-rsdp-256-small,380.5233735747951,8.109758606036596
cross-rsdpg-128-balanced,36.624379134067695,0.8268389621807978
cross-rsdpg-128-fast,20.325517992186562,0.44284932074923294
cross-rsdpg-128-small,131.4877390355247,2.8721381271142645
cross-rsdpg-192-balanced,56.95268773280364,1.2114320468088886
cross-rsdpg-192-fast,48.22632047685681,1.017326108785046
cross-rsdpg-192-small,203.74368312673334,4.5222559010540815
cross-rsdpg-256-balanced,88.18257192343614,1.9319014451418013
cross-rsdpg-256-fast,78.88176039322212,1.6620481902674253
cross-rsdpg-256-small,234.2073485525654,5.155589947743758
