variant,verify
Dilithium2,4.035369966348977
Dilithium2,3.996325157105388
Dilithium2,4.196570750910563
Dilithium2,4.0424855570603935
Dilithium2,4.093815502831047
Dilithium2,4.054933846916159
Dilithium2,4.171635626447057
Dilithium2,4.002547498513807
Dilithium2,4.1238552882942185
Dilithium2,4.129616146195291
Dilithium2,3.9814040660193655
Dilithium2,4.159654241919978
Dilithium2,4.162183058603726
Dilithium2,4.021193278901158
Dilithium2,4.02878563631002
Dilithium2,4.246377881615458
Dilithium2,4.139873010874002
Dilithium2,4.129829023530496
Dilithium2,4.151280875334322
Dilithium2,4.0436981894536785
Dilithium2,4.201966891159062
Dilithium2,4.0360164648755905
Dilithium2,4.254491234646732
Dilithium2,4.135193231447024
Dilithium2,3.9191315334187236
Dilithium2,4.141057717456072
Dilithium2,4.129540325509875
Dilithium2,4.22006716692964
Dilithium2,4.1223358451704755
Dilithium2,4.048281323873454
Dilithium2,4.07819689513104
Dilithium2,4.169638504946209
Dilithium2,4.110031773602582
Dilithium2,4.116389902874986
Dilithium2,4.091437735604431
Dilithium2,4.08324329337048
Dilithium2,3.968790088553287
Dilithium2,4.095707986336663
Dilithium2,3.975703062445876
Dilithium2,3.958267628723612
Dilithium2,4.0222216656731975
Dilithium2,3.9803660713261637
Dilithium2,3.8161537015321705
Dilithium2,4.024359863055094
Dilithium2,4.120987846625457
Dilithium2,4.121268650964947
Dilithium2,4.0042072179567185
Dilithium2,4.188329861690719
Dilithium2,4.018860285562621
Dilithium2,4.052176070319809
Dilithium2,4.090553140849686
Dilithium2,3.904776470350266
Dilithium2,4.065343743863624
Dilithium2,4.147374934458433
Dilithium2,4.138023399309535
Dilithium2,3.993950287722168
Dilithium2,4.241571616576175
Dilithium2,3.9529696270792853
Dilithium2,4.004056366483099
Dilithium2,4.216324758351976
Dilithium2,4.1204176221418995
Dilithium2,3.9769863153473244
Dilithium2,4.149054995183093
Dilithium2,4.17307172337607
Dilithium2,3.9117680662454006
Dilithium2,4.078382066802
Dilithium2,3.988440518510204
Dilithium2,4.059068612762813
Dilithium2,4.189794891678551
Dilithium2,4.131192161096924
Dilithium2,4.2272986328888935
Dilithium2,4.190905614712828
Dilithium2,4.343555250685848
Dilithium2,4.165100476743018
Dilithium2,4.192592060449992
Dilithium2,4.074098098672473
Dilithium2,4.09464340383492
Dilithium2,4.033447763055634
Dilithium2,4.017684673555573
Dilithium2,3.941511612579406
Dilithium2,4.086155060358044
Dilithium2,4.040969556418754
Dilithium2,4.1673178609169215
Dilithium2,4.256127444848402
Dilithium2,4.084793885562671
Dilithium2,4.036701002909501
Dilithium2,4.092195419638542
Dilithium2,3.9495091711679398
Dilithium2,4.0222038147259065
Dilithium2,3.89604693736066
Dilithium2,4.191928173926837
Dilithium2,4.060019252229998
Dilithium2,3.8532127258656383
Dilithium2,4.09128892761276
Dilithium2,3.969123709291763
Dilithium2,4.1241236701199595
Dilithium2,4.077032919132159
Dilithium2,3.8622867693580614
Dilithium2,4.050059275011893
Dilithium2,4.001046383400206
Dilithium2,4.159274211315006
Dilithium2,4.175835302412072
Dilithium2,4.122948897515304
Dilithium2,3.977125963252741
Dilithium2,4.280704356651113
Dilithium2,4.034486041778577
Dilithium2,4.108684027822134
Dilithium2,3.9352625459148163
Dilithium2,4.101567240968128
Dilithium2,4.0912583373382825
Dilithium2,4.159948507241164
Dilithium2,4.175911543146243
Dilithium2,4.1072143508451004
Dilithium2,4.1216620918000295
Dilithium2,4.075209767577278
Dilithium2,3.8550408241102962
Dilithium2,4.00658471055236
Dilithium2,4.236585063488317
Dilithium2,4.130262976052675
Dilithium2,4.090550375162621
Dilithium2,4.116485578644399
Dilithium2,4.159280997714499
Dilithium2,4.206488920916661
Dilithium2,4.0668212534685475
Dilithium2,3.938437038442799
Dilithium2,3.9269406070755135
Dilithium2,4.058718938460359
Dilithium2,3.799035769900606
Dilithium2,4.1252246671989035
Dilithium2,4.068320597776052
Dilithium2,4.023449091001577
Dilithium2,4.073316974326566
Dilithium2,4.296724659597561
Dilithium2,3.985427286593654
Dilithium2,3.950405136081235
Dilithium2,4.05715076666726
Dilithium2,4.0367251482789595
Dilithium2,4.099560612851639
Dilithium2,4.186611054562617
Dilithium2,4.039462614068341
Dilithium2,4.146385140326242
Dilithium2,4.106014283172088
Dilithium2,3.9956434055222516
Dilithium2,4.0545303231999705
Dilithium2,4.180856603212773
Dilithium2,4.1141733451171865
Dilithium2,4.037164077408117
Dilithium2,4.054913035752174
Dilithium2,4.065799231497889
Dilithium2,4.028144415721288
Dilithium2,4.024407775416519
Dilithium2,4.010487155804529
Dilithium2,4.112813826913728
Dilithium2,4.20843889681291
Dilithium2,3.9954141109244206
Dilithium2,3.970367970991957
Dilithium2,4.117974566089134
Dilithium2,3.93068260139793
Dilithium2,3.9504012170165623
Dilithium2,3.945500849314751
Dilithium2,4.095595662019377
Dilithium2,4.0626473563161625
Dilithium2,4.0650101366476905
Dilithium2,4.014614395181632
Dilithium2,4.136300075829716
Dilithium2,4.028146221245148
Dilithium2,4.166517389450454
Dilithium2,4.215855646367399
