variant,verify
Dilithium2,2.959613139945238
Dilithium2,2.8989592153862382
Dilithium2,2.932647301715428
Dilithium2,2.8708583887669077
Dilithium2,3.021463838586893
Dilithium2,3.0571180414026866
Dilithium2,2.9175122063979986
Dilithium2,3.0980896661555173
Dilithium2,2.988459697422866
Dilithium2,3.0181375144953093
Dilithium2,2.995358742354791
Dilithium2,3.1053070097698328
Dilithium2,3.1083944125076597
Dilithium2,2.923574878662837
Dilithium2,3.0495185998209866
Dilithium2,2.9238251663055794
Dilithium2,2.9839094081813635
Dilithium2,3.0011028427460436
Dilithium2,3.0470639835155318
Dilithium2,2.9576139879976315
Dilithium2,3.057547511175406
Dilithium2,2.934926485976518
Dilithium2,2.9618776697652724
Dilithium2,2.9574098050331954
Dilithium2,2.968065255997881
Dilithium2,2.9155058528282254
Dilithium2,2.9641024554377533
Dilithium2,2.904517114651883
Dilithium2,2.964488339398005
Dilithium2,3.027175397428564
Dilithium2,2.9655470858406083
Dilithium2,2.974949574403718
Dilithium2,3.0671308146324345
Dilithium2,3.0294017881331845
Dilithium2,2.9962045556274215
Dilithium2,2.9699218564772325
Dilithium2,3.0302411149007966
Dilithium2,3.0984591489765108
Dilithium2,3.0551197142081885
Dilithium2,2.9077785799742806
Dilithium2,2.9661859374360424
Dilithium2,3.0245438263801265
Dilithium2,3.058202163911476
Dilithium2,3.054728420810945
Dilithium2,2.9951879343548042
Dilithium2,3.0795692137024955
Dilithium2,2.9324761101505805
Dilithium2,2.9711797274417138
Dilithium2,2.982630557205215
Dilithium2,3.059568238895847
Dilithium2,3.02777853576856
Dilithium2,2.991512185505637
Dilithium2,3.0359528060462457
Dilithium2,2.906402532554317
Dilithium2,2.9988303291315623
Dilithium2,2.9630767841235697
Dilithium2,2.783327316757506
Dilithium2,2.997244710955134
Dilithium2,3.0582613135825465
Dilithium2,2.9078218938749814
Dilithium2,3.042942828239614
Dilithium2,2.8884929758009528
Dilithium2,2.9805203909562303
Dilithium2,2.9056916390801937
Dilithium2,3.017101559906259
Dilithium2,3.028228954321494
Dilithium2,2.9134491453026987
Dilithium2,2.9339364284629865
Dilithium2,3.0409810742018957
Dilithium2,2.8695422954536807
Dilithium2,3.0146415569695897
Dilithium2,2.9212587186233128
Dilithium2,2.9663227965263386
